F-lost	   TF_cost	min-1	mean-1	max-1	w-mean-1	ext2-1	
0.3200	1.3738e+005	0.6724	0.6724	0.6724	0.6724	0.0945	
0.3210	1.3717e+005	0.6719	0.6719	0.6719	0.6719	0.0946	
0.3220	1.3697e+005	0.6714	0.6714	0.6714	0.6714	0.0948	
0.3230	1.3677e+005	0.6709	0.6709	0.6709	0.6709	0.0950	
0.3240	1.3657e+005	0.6704	0.6704	0.6704	0.6704	0.0951	
0.3250	1.3637e+005	0.6700	0.6700	0.6700	0.6700	0.0953	
0.3260	1.3616e+005	0.6695	0.6695	0.6695	0.6695	0.0954	
0.3270	1.3596e+005	0.6690	0.6690	0.6690	0.6690	0.0956	
0.3280	1.3576e+005	0.6685	0.6685	0.6685	0.6685	0.0958	
0.3290	1.3556e+005	0.6680	0.6680	0.6680	0.6680	0.0959	
0.3300	1.3536e+005	0.6675	0.6675	0.6675	0.6675	0.0961	
0.3310	1.3515e+005	0.6671	0.6671	0.6671	0.6671	0.0963	
0.3320	1.3495e+005	0.6666	0.6666	0.6666	0.6666	0.0964	
0.3330	1.3475e+005	0.6661	0.6661	0.6661	0.6661	0.0966	
0.3340	1.3455e+005	0.6657	0.6657	0.6657	0.6657	0.0967	
0.3350	1.3435e+005	0.6652	0.6652	0.6652	0.6652	0.0969	
0.3360	1.3414e+005	0.6647	0.6647	0.6647	0.6647	0.0971	
0.3370	1.3394e+005	0.6643	0.6643	0.6643	0.6643	0.0972	
0.3380	1.3374e+005	0.6637	0.6637	0.6637	0.6637	0.0974	
0.3390	1.3354e+005	0.6632	0.6632	0.6632	0.6632	0.0976	
0.3400	1.3334e+005	0.6627	0.6627	0.6627	0.6627	0.0977	
0.3410	1.3313e+005	0.6622	0.6622	0.6622	0.6622	0.0979	
0.3420	1.3293e+005	0.6617	0.6617	0.6617	0.6617	0.0981	
0.3430	1.3273e+005	0.6612	0.6612	0.6612	0.6612	0.0982	
0.3440	1.3253e+005	0.6607	0.6607	0.6607	0.6607	0.0984	
0.3450	1.3233e+005	0.6602	0.6602	0.6602	0.6602	0.0986	
0.3460	1.3212e+005	0.6597	0.6597	0.6597	0.6597	0.0988	
0.3470	1.3192e+005	0.6592	0.6592	0.6592	0.6592	0.0989	
0.3480	1.3172e+005	0.6587	0.6587	0.6587	0.6587	0.0991	
0.3490	1.3152e+005	0.6581	0.6581	0.6581	0.6581	0.0993	
0.3500	1.3132e+005	0.6576	0.6576	0.6576	0.6576	0.0995	
0.3510	1.3111e+005	0.6571	0.6571	0.6571	0.6571	0.0997	
0.3520	1.3091e+005	0.6566	0.6566	0.6566	0.6566	0.0998	
0.3530	1.3071e+005	0.6562	0.6562	0.6562	0.6562	0.1000	
0.3540	1.3051e+005	0.6558	0.6558	0.6558	0.6558	0.1001	
