F-lost	   TF_cost	min-1	mean-1	max-1	w-mean-1	ext2-1	
0.1760	1.6646e+005	0.7352	0.7352	0.7352	0.7352	0.0740	
0.1770	1.6626e+005	0.7349	0.7349	0.7349	0.7349	0.0741	
0.1780	1.6606e+005	0.7346	0.7346	0.7346	0.7346	0.0742	
0.1790	1.6586e+005	0.7343	0.7343	0.7343	0.7343	0.0743	
0.1800	1.6566e+005	0.7340	0.7340	0.7340	0.7340	0.0744	
0.1810	1.6545e+005	0.7339	0.7339	0.7339	0.7339	0.0744	
0.1820	1.6525e+005	0.7336	0.7336	0.7336	0.7336	0.0745	
0.1830	1.6505e+005	0.7333	0.7333	0.7333	0.7333	0.0746	
0.1840	1.6485e+005	0.7330	0.7330	0.7330	0.7330	0.0747	
0.1850	1.6465e+005	0.7328	0.7328	0.7328	0.7328	0.0748	
0.1860	1.6444e+005	0.7325	0.7325	0.7325	0.7325	0.0749	
0.1870	1.6424e+005	0.7324	0.7324	0.7324	0.7324	0.0749	
0.1880	1.6404e+005	0.7322	0.7322	0.7322	0.7322	0.0750	
0.1890	1.6384e+005	0.7321	0.7321	0.7321	0.7321	0.0750	
0.1900	1.6364e+005	0.7319	0.7319	0.7319	0.7319	0.0751	
0.1910	1.6343e+005	0.7316	0.7316	0.7316	0.7316	0.0751	
0.1920	1.6323e+005	0.7313	0.7313	0.7313	0.7313	0.0752	
0.1930	1.6303e+005	0.7310	0.7310	0.7310	0.7310	0.0753	
0.1940	1.6283e+005	0.7307	0.7307	0.7307	0.7307	0.0754	
0.1950	1.6263e+005	0.7304	0.7304	0.7304	0.7304	0.0755	
0.1960	1.6242e+005	0.7301	0.7301	0.7301	0.7301	0.0756	
0.1970	1.6222e+005	0.7298	0.7298	0.7298	0.7298	0.0757	
0.1980	1.6202e+005	0.7295	0.7295	0.7295	0.7295	0.0758	
0.1990	1.6182e+005	0.7293	0.7293	0.7293	0.7293	0.0759	
0.2000	1.6162e+005	0.7290	0.7290	0.7290	0.7290	0.0760	
0.2010	1.6141e+005	0.7288	0.7288	0.7288	0.7288	0.0761	
0.2020	1.6121e+005	0.7285	0.7285	0.7285	0.7285	0.0761	
0.2030	1.6101e+005	0.7283	0.7283	0.7283	0.7283	0.0762	
0.2040	1.6081e+005	0.7280	0.7280	0.7280	0.7280	0.0763	
0.2050	1.6061e+005	0.7277	0.7277	0.7277	0.7277	0.0764	
0.2060	1.604e+005	0.7274	0.7274	0.7274	0.7274	0.0765	
0.2070	1.602e+005	0.7271	0.7271	0.7271	0.7271	0.0766	
0.2080	1.6e+005  	0.7268	0.7268	0.7268	0.7268	0.0767	
0.2090	1.598e+005	0.7265	0.7265	0.7265	0.7265	0.0768	
0.2100	1.596e+005	0.7262	0.7262	0.7262	0.7262	0.0769	
0.2110	1.5939e+005	0.7259	0.7259	0.7259	0.7259	0.0770	
0.2120	1.5919e+005	0.7256	0.7256	0.7256	0.7256	0.0771	
0.2130	1.5899e+005	0.7252	0.7252	0.7252	0.7252	0.0772	
0.2140	1.5879e+005	0.7249	0.7249	0.7249	0.7249	0.0773	
0.2150	1.5859e+005	0.7246	0.7246	0.7246	0.7246	0.0774	
0.2160	1.5838e+005	0.7243	0.7243	0.7243	0.7243	0.0775	
0.2170	1.5818e+005	0.7240	0.7240	0.7240	0.7240	0.0776	
0.2180	1.5798e+005	0.7237	0.7237	0.7237	0.7237	0.0777	
0.2190	1.5778e+005	0.7234	0.7234	0.7234	0.7234	0.0778	
0.2200	1.5758e+005	0.7231	0.7231	0.7231	0.7231	0.0778	
0.2210	1.5737e+005	0.7228	0.7228	0.7228	0.7228	0.0780	
0.2220	1.5717e+005	0.7224	0.7224	0.7224	0.7224	0.0781	
0.2230	1.5697e+005	0.7221	0.7221	0.7221	0.7221	0.0782	
0.2240	1.5677e+005	0.7218	0.7218	0.7218	0.7218	0.0783	
0.2250	1.5657e+005	0.7214	0.7214	0.7214	0.7214	0.0784	
0.2260	1.5636e+005	0.7211	0.7211	0.7211	0.7211	0.0785	
0.2270	1.5616e+005	0.7208	0.7208	0.7208	0.7208	0.0786	
0.2280	1.5596e+005	0.7204	0.7204	0.7204	0.7204	0.0787	
0.2290	1.5576e+005	0.7201	0.7201	0.7201	0.7201	0.0788	
0.2300	1.5556e+005	0.7199	0.7199	0.7199	0.7199	0.0789	
0.2310	1.5535e+005	0.7196	0.7196	0.7196	0.7196	0.0790	
0.2320	1.5515e+005	0.7193	0.7193	0.7193	0.7193	0.0791	
0.2330	1.5495e+005	0.7190	0.7190	0.7190	0.7190	0.0792	
0.2340	1.5475e+005	0.7186	0.7186	0.7186	0.7186	0.0793	
0.2350	1.5455e+005	0.7183	0.7183	0.7183	0.7183	0.0794	
0.2360	1.5434e+005	0.7180	0.7180	0.7180	0.7180	0.0795	
0.2370	1.5414e+005	0.7176	0.7176	0.7176	0.7176	0.0796	
0.2380	1.5394e+005	0.7173	0.7173	0.7173	0.7173	0.0797	
0.2390	1.5374e+005	0.7169	0.7169	0.7169	0.7169	0.0798	
0.2400	1.5354e+005	0.7165	0.7165	0.7165	0.7165	0.0800	
0.2410	1.5333e+005	0.7163	0.7163	0.7163	0.7163	0.0800	
0.2420	1.5313e+005	0.7160	0.7160	0.7160	0.7160	0.0801	
0.2430	1.5293e+005	0.7156	0.7156	0.7156	0.7156	0.0803	
0.2440	1.5273e+005	0.7154	0.7154	0.7154	0.7154	0.0803	
0.2450	1.5253e+005	0.7150	0.7150	0.7150	0.7150	0.0805	
0.2460	1.5232e+005	0.7146	0.7146	0.7146	0.7146	0.0806	
0.2470	1.5212e+005	0.7143	0.7143	0.7143	0.7143	0.0807	
0.2480	1.5192e+005	0.7139	0.7139	0.7139	0.7139	0.0808	
0.2490	1.5172e+005	0.7137	0.7137	0.7137	0.7137	0.0809	
0.2500	1.5152e+005	0.7133	0.7133	0.7133	0.7133	0.0810	
0.2510	1.5131e+005	0.7130	0.7130	0.7130	0.7130	0.0811	
0.2520	1.5111e+005	0.7127	0.7127	0.7127	0.7127	0.0812	
0.2530	1.5091e+005	0.7123	0.7123	0.7123	0.7123	0.0813	
0.2540	1.5071e+005	0.7120	0.7120	0.7120	0.7120	0.0814	
0.2550	1.5051e+005	0.7116	0.7116	0.7116	0.7116	0.0816	
0.2560	1.503e+005	0.7112	0.7112	0.7112	0.7112	0.0817	
0.2570	1.501e+005	0.7108	0.7108	0.7108	0.7108	0.0818	
0.2580	1.499e+005	0.7105	0.7105	0.7105	0.7105	0.0819	
0.2590	1.497e+005	0.7101	0.7101	0.7101	0.7101	0.0820	
0.2600	1.495e+005	0.7097	0.7097	0.7097	0.7097	0.0822	
0.2610	1.4929e+005	0.7093	0.7093	0.7093	0.7093	0.0823	
0.2620	1.4909e+005	0.7089	0.7089	0.7089	0.7089	0.0824	
0.2630	1.4889e+005	0.7086	0.7086	0.7086	0.7086	0.0825	
0.2640	1.4869e+005	0.7082	0.7082	0.7082	0.7082	0.0826	
0.2650	1.4849e+005	0.7079	0.7079	0.7079	0.7079	0.0827	
0.2660	1.4828e+005	0.7075	0.7075	0.7075	0.7075	0.0829	
0.2670	1.4808e+005	0.7071	0.7071	0.7071	0.7071	0.0830	
0.2680	1.4788e+005	0.7067	0.7067	0.7067	0.7067	0.0831	
0.2690	1.4768e+005	0.7063	0.7063	0.7063	0.7063	0.0833	
0.2700	1.4748e+005	0.7059	0.7059	0.7059	0.7059	0.0834	
0.2710	1.4727e+005	0.7055	0.7055	0.7055	0.7055	0.0835	
0.2720	1.4707e+005	0.7052	0.7052	0.7052	0.7052	0.0836	
0.2730	1.4687e+005	0.7048	0.7048	0.7048	0.7048	0.0837	
0.2740	1.4667e+005	0.7045	0.7045	0.7045	0.7045	0.0839	
0.2750	1.4647e+005	0.7041	0.7041	0.7041	0.7041	0.0840	
0.2760	1.4626e+005	0.7037	0.7037	0.7037	0.7037	0.0841	
0.2770	1.4606e+005	0.7033	0.7033	0.7033	0.7033	0.0842	
0.2780	1.4586e+005	0.7028	0.7028	0.7028	0.7028	0.0844	
0.2790	1.4566e+005	0.7024	0.7024	0.7024	0.7024	0.0845	
0.2800	1.4546e+005	0.7020	0.7020	0.7020	0.7020	0.0846	
0.2810	1.4525e+005	0.7017	0.7017	0.7017	0.7017	0.0848	
0.2820	1.4505e+005	0.7013	0.7013	0.7013	0.7013	0.0849	
0.2830	1.4485e+005	0.7010	0.7010	0.7010	0.7010	0.0850	
0.2840	1.4465e+005	0.7006	0.7006	0.7006	0.7006	0.0851	
0.2850	1.4445e+005	0.7002	0.7002	0.7002	0.7002	0.0852	
0.2860	1.4424e+005	0.6998	0.6998	0.6998	0.6998	0.0854	
0.2870	1.4404e+005	0.6993	0.6993	0.6993	0.6993	0.0855	
0.2880	1.4384e+005	0.6989	0.6989	0.6989	0.6989	0.0857	
0.2890	1.4364e+005	0.6985	0.6985	0.6985	0.6985	0.0858	
0.2900	1.4344e+005	0.6982	0.6982	0.6982	0.6982	0.0859	
0.2910	1.4323e+005	0.6980	0.6980	0.6980	0.6980	0.0859	
0.2920	1.4303e+005	0.6978	0.6978	0.6978	0.6978	0.0860	
0.2930	1.4283e+005	0.6974	0.6974	0.6974	0.6974	0.0862	
0.2940	1.4263e+005	0.6969	0.6969	0.6969	0.6969	0.0863	
0.2950	1.4243e+005	0.6965	0.6965	0.6965	0.6965	0.0865	
0.2960	1.4222e+005	0.6961	0.6961	0.6961	0.6961	0.0866	
0.2970	1.4202e+005	0.6956	0.6956	0.6956	0.6956	0.0867	
0.2980	1.4182e+005	0.6952	0.6952	0.6952	0.6952	0.0869	
0.2990	1.4162e+005	0.6948	0.6948	0.6948	0.6948	0.0870	
0.3000	1.4142e+005	0.6943	0.6943	0.6943	0.6943	0.0872	
0.3010	1.4121e+005	0.6939	0.6939	0.6939	0.6939	0.0873	
0.3020	1.4101e+005	0.6935	0.6935	0.6935	0.6935	0.0875	
0.3030	1.4081e+005	0.6930	0.6930	0.6930	0.6930	0.0876	
